File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-2a85c4.o,85.460777%,24946,6208,24788,66,92,6116
mf_w.l,5.563549%,1624,0,1624,0,0,0
startup_at32f415.o,1.384036%,404,1024,36,368,0,1024
dadd.o,1.144228%,334,0,334,0,0,0
mc_w.l,1.014046%,296,4,292,0,4,0
dmul.o,0.781089%,228,0,228,0,0,0
ddiv.o,0.760534%,222,0,222,0,0,0
depilogue.o,0.637205%,186,0,186,0,0,0
fadd.o,0.602946%,176,0,176,0,0,0
fepilogue.o,0.376841%,110,0,110,0,0,0
fmul.o,0.342583%,100,0,100,0,0,0
dfixi.o,0.212402%,62,0,62,0,0,0
ffixui.o,0.137033%,40,0,40,0,0,0
puts.o,0.123330%,36,0,36,0,0,0
memseta.o,0.123330%,36,0,36,0,0,0
memcpya.o,0.123330%,36,0,36,0,0,0
llsshr.o,0.123330%,36,0,36,0,0,0
init.o,0.123330%,36,0,36,0,0,0
llushr.o,0.109627%,32,0,32,0,0,0
llshl.o,0.102775%,30,0,30,0,0,0
handlers.o,0.102775%,30,0,30,0,0,0
fcmplt.o,0.095923%,28,0,28,0,0,0
fcmple.o,0.095923%,28,0,28,0,0,0
fcmpgt.o,0.095923%,28,0,28,0,0,0
fcmpge.o,0.095923%,28,0,28,0,0,0
dfltui.o,0.089072%,26,0,26,0,0,0
fflti.o,0.061665%,18,0,18,0,0,0
ffltui.o,0.034258%,10,0,10,0,0,0
entry9a.o,0.027407%,8,0,8,0,0,0
entry2.o,0.027407%,8,0,8,0,0,0
stdout.o,0.013703%,4,4,0,0,4,0
entry5.o,0.013703%,4,0,4,0,0,0
